"filename","dsc","hausdorff","abs_diff","fg_ratio"
"spleen_53","0.8216405510902405","147.52965803525743","0.4167534205829863","0.0015871329872986875"
"spleen_56","0.891213595867157","5","0.2259201479170278","0.004251590385170948"
"spleen_59","0.9423980712890625","14.866068747318506","0.11805709578276988","0.009376466883344524"
"spleen_6","0.965009868144989","159.5900999435742","0.0696664013937582","0.005663830183282339"
"spleen_60","0.956311821937561","169.07394831847986","0.08695587090593378","0.00419204858669905"
"spleen_61","0.7741304039955139","182.08239892971534","0.5609655058134718","0.0023501452216969894"
"spleen_62","0.9413979649543762","4.58257569495584","0.11592238084348763","0.008063475204767648"
"spleen_63","0.9499730467796326","120.77251342917394","0.0984024752162657","0.010155334227650826"
"spleen_8","0.956541121006012","4.123105625617661","0.0872194597500336","0.016758163552109084"
"spleen_9","0.9580292701721191","4.242640687119285","0.0859495190275735","0.012026479359026935"
