"filename","dsc","hausdorff","abs_diff","fg_ratio"
"spleen_53","0.8357020616531372","161.08693305169106","0.34986615110053537","0.0015871329872986875"
"spleen_56","0.8644985556602478","19.209372712298546","0.2934650719362108","0.004251590385170948"
"spleen_59","0.9419215321540833","121.16104984688768","0.1168108319339269","0.009376466883344524"
"spleen_6","0.9627274870872498","26.645825188948457","0.07540920138515475","0.005663830183282339"
"spleen_60","0.936312198638916","177.451401797788","0.12942338782108856","0.00419204858669905"
"spleen_61","0.9300029873847961","138.52797551397336","0.14333453008920435","0.0023501452216969894"
"spleen_62","0.9165281057357788","11","0.15989350233576166","0.008063475204767648"
"spleen_63","0.9429140090942383","143.5653161456485","0.11007135189745533","0.010155334227650826"
"spleen_8","0.9284294247627258","57.86190456595773","0.13642431572817273","0.016758163552109084"
"spleen_9","0.9482050538063049","9.055385138137417","0.10620276918395294","0.012026479359026935"
