"filename","dsc","hausdorff","abs_diff","fg_ratio"
"spleen_53","0.027555782347917557","276.7562104090891","70.15493010113028","0.0015871329872986875"
"spleen_56","0.07566896080970764","185.43192821086663","23.805570000577802","0.004251590385170948"
"spleen_59","0.14540697634220123","234.9659549807163","11.427373446130773","0.009376466883344524"
"spleen_6","0.09416727721691132","238.04621400055913","18.991762200761404","0.005663830183282339"
"spleen_60","0.06650868058204651","275.230812228573","27.406502604634454","0.00419204858669905"
"spleen_61","0.0393553152680397","264.7753764986465","47.844265237924276","0.0023501452216969894"
"spleen_62","0.12137683480978012","226.76419470454326","13.962088791610858","0.008063475204767648"
"spleen_63","0.14999687671661377","201.30076999355964","11.001553324493274","0.010155334227650826"
"spleen_8","0.2432597577571869","196.62400667263395","6.005384580925503","0.016758163552109084"
"spleen_9","0.18002550303936005","184.59144075498193","8.913796892698349","0.012026479359026935"
